versione 1.0 (con cast)
 
 delta T = 0.005890s, MSE = 0.00000000000000000000000, epsilon = 0.0001
 delta T = 0.005910s, MSE = 0.00000000000000000000000, epsilon = 0.0001
 delta T = 0.005950s, MSE = 0.00000000000000000000000, epsilon = 0.0001
 delta T = 0.006080s, MSE = 0.00000000000000000000000, epsilon = 0.0001
 delta T = 0.005910s, MSE = 0.00000000000000000000000, epsilon = 0.0001
 delta T = 0.005920s, MSE = 0.00000000000000000000000, epsilon = 0.0001
 delta T = 0.005870s, MSE = 0.00000000000000000000000, epsilon = 0.0001

 delta T = 0.006850s, MSE = 0.00000000000000000000000, epsilon = 0.000000001
 delta T = 0.007260s, MSE = 0.00000000000000000000000, epsilon = 0.000000001
 delta T = 0.006240s, MSE = 0.00000000000000000000000, epsilon = 0.000000001
 delta T = 0.005930s, MSE = 0.00000000000000000000000, epsilon = 0.000000001
 delta T = 0.006230s, MSE = 0.00000000000000000000000, epsilon = 0.000000001
 delta T = 0.005940s, MSE = 0.00000000000000000000000, epsilon = 0.000000001
 delta T = 0.005950s, MSE = 0.00000000000000000000000, epsilon = 0.000000001
 delta T = 0.006020s, MSE = 0.00000000000000000000000, epsilon = 0.000000001
 delta T = 0.005910s, MSE = 0.00000000000000000000000, epsilon = 0.000000001
 delta T = 0.005920s, MSE = 0.00000000000000000000000, epsilon = 0.000000001
 
 delta T = 0.006550s, MSE = 0.00000000000001281323172, epsilon = 0.001
 delta T = 0.007210s, MSE = 0.00000000000001242320777, epsilon = 0.001
 delta T = 0.005770s, MSE = 0.00000000000001252904962, epsilon = 0.001
 delta T = 0.005850s, MSE = 0.00000000000001231624191, epsilon = 0.001
 delta T = 0.005810s, MSE = 0.00000000000001081053836, epsilon = 0.001
 delta T = 0.005660s, MSE = 0.00000000000001204647801, epsilon = 0.001
 delta T = 0.005710s, MSE = 0.00000000000001256453437, epsilon = 0.001
 delta T = 0.005750s, MSE = 0.00000000000001122386079, epsilon = 0.001
 delta T = 0.005690s, MSE = 0.00000000000001073976791, epsilon = 0.001
 delta T = 0.005810s, MSE = 0.00000000000001452136175, epsilon = 0.001
 delta T = 0.006670s, MSE = 0.00000000000001281323172, epsilon = 0.001
 delta T = 0.007100s, MSE = 0.00000000000001242320777, epsilon = 0.001
 delta T = 0.005960s, MSE = 0.00000000000001252904962, epsilon = 0.001
 delta T = 0.005780s, MSE = 0.00000000000001231624191, epsilon = 0.001
 delta T = 0.006000s, MSE = 0.00000000000001081053836, epsilon = 0.001
 delta T = 0.005990s, MSE = 0.00000000000001204647801, epsilon = 0.001
 delta T = 0.005740s, MSE = 0.00000000000001256453437, epsilon = 0.001
 delta T = 0.005760s, MSE = 0.00000000000001122386079, epsilon = 0.001
 delta T = 0.005730s, MSE = 0.00000000000001073976791, epsilon = 0.001
 delta T = 0.005750s, MSE = 0.00000000000001452136175, epsilon = 0.001
 delta T = 0.006240s, MSE = 0.00000000000001281323172, epsilon = 0.001
 delta T = 0.006560s, MSE = 0.00000000000001242320777, epsilon = 0.001
 delta T = 0.005720s, MSE = 0.00000000000001252904962, epsilon = 0.001
 delta T = 0.005890s, MSE = 0.00000000000001231624191, epsilon = 0.001
 delta T = 0.005840s, MSE = 0.00000000000001081053836, epsilon = 0.001
 delta T = 0.005860s, MSE = 0.00000000000001204647801, epsilon = 0.001
 delta T = 0.005780s, MSE = 0.00000000000001256453437, epsilon = 0.001
 delta T = 0.005770s, MSE = 0.00000000000001122386079, epsilon = 0.001
 delta T = 0.005880s, MSE = 0.00000000000001073976791, epsilon = 0.001
 delta T = 0.005720s, MSE = 0.00000000000001452136175, epsilon = 0.001
 
 delta T = 0.006780s, MSE = 0.00000000000001281323172, epsilon = 0.001
 delta T = 0.007310s, MSE = 0.00000000000001242320777, epsilon = 0.001
 delta T = 0.005790s, MSE = 0.00000000000001252904962, epsilon = 0.001
 delta T = 0.005760s, MSE = 0.00000000000001231624191, epsilon = 0.001
 delta T = 0.005740s, MSE = 0.00000000000001081053836, epsilon = 0.001
 delta T = 0.005740s, MSE = 0.00000000000001204647801, epsilon = 0.001
 delta T = 0.005670s, MSE = 0.00000000000001256453437, epsilon = 0.001
 delta T = 0.005770s, MSE = 0.00000000000001122386079, epsilon = 0.001
 delta T = 0.005900s, MSE = 0.00000000000001073976791, epsilon = 0.001
 delta T = 0.005750s, MSE = 0.00000000000001452136175, epsilon = 0.001

 
con if su compute

 delta T = 0.005870s, MSE = 0.00000000000000055304385, epsilon = 0.001
 delta T = 0.006080s, MSE = 0.00000000000000043299763, epsilon = 0.001
 delta T = 0.005270s, MSE = 0.00000000000000056990500, epsilon = 0.001
 delta T = 0.005320s, MSE = 0.00000000000000055255358, epsilon = 0.001
 delta T = 0.005410s, MSE = 0.00000000000000040088820, epsilon = 0.001
 delta T = 0.005290s, MSE = 0.00000000000000054270544, epsilon = 0.001
 delta T = 0.005330s, MSE = 0.00000000000000058540903, epsilon = 0.001
 delta T = 0.005330s, MSE = 0.00000000000000049503512, epsilon = 0.001
 delta T = 0.005280s, MSE = 0.00000000000000054347995, epsilon = 0.001
 delta T = 0.005310s, MSE = 0.00000000000000051375084, epsilon = 0.001

 delta T = 0.005490s, MSE = 0.00000000000000056341778, epsilon = 0.001
 delta T = 0.006290s, MSE = 0.00000000000000044439472, epsilon = 0.001
 delta T = 0.005090s, MSE = 0.00000000000000058712856, epsilon = 0.001
 delta T = 0.005020s, MSE = 0.00000000000000056545701, epsilon = 0.001
 delta T = 0.005210s, MSE = 0.00000000000000040995473, epsilon = 0.001
 delta T = 0.005090s, MSE = 0.00000000000000055171512, epsilon = 0.001
 delta T = 0.005100s, MSE = 0.00000000000000059660723, epsilon = 0.001
 delta T = 0.005070s, MSE = 0.00000000000000051038283, epsilon = 0.001
 delta T = 0.005070s, MSE = 0.00000000000000055322856, epsilon = 0.001
 delta T = 0.005050s, MSE = 0.00000000000000052583006, epsilon = 0.001

 delta T = 0.004420s, MSE = 0.00000000000000096524391, epsilon = 0.001
 delta T = 0.004790s, MSE = 0.00000000000000104952136, epsilon = 0.001
 delta T = 0.004150s, MSE = 0.00000000000000104304124, epsilon = 0.001
 delta T = 0.004130s, MSE = 0.00000000000000104396493, epsilon = 0.001
 delta T = 0.004150s, MSE = 0.00000000000000089204375, epsilon = 0.001
 delta T = 0.004110s, MSE = 0.00000000000000117301368, epsilon = 0.001
 delta T = 0.004170s, MSE = 0.00000000000000111808878, epsilon = 0.001
 delta T = 0.004150s, MSE = 0.00000000000000107890229, epsilon = 0.001
 delta T = 0.004120s, MSE = 0.00000000000000104273567, epsilon = 0.001
 delta T = 0.004120s, MSE = 0.00000000000000096761709, epsilon = 0.001
 
 delta T = 0.003410s, MSE = 0.00000000000000244953924, epsilon = 0.001
 delta T = 0.003220s, MSE = 0.00000000000000273754357, epsilon = 0.001
 delta T = 0.003230s, MSE = 0.00000000000000305120559, epsilon = 0.001
 delta T = 0.003630s, MSE = 0.00000000000000287750624, epsilon = 0.001
 delta T = 0.002900s, MSE = 0.00000000000000275468900, epsilon = 0.001
 delta T = 0.002890s, MSE = 0.00000000000000286103589, epsilon = 0.001
 delta T = 0.002920s, MSE = 0.00000000000000283521473, epsilon = 0.001
 delta T = 0.002870s, MSE = 0.00000000000000305796279, epsilon = 0.001
 delta T = 0.002870s, MSE = 0.00000000000000261434242, epsilon = 0.001
 delta T = 0.002950s, MSE = 0.00000000000000253922393, epsilon = 0.001

 delta T = 0.003580s, MSE = 0.00000000000000244953924, epsilon = 0.001
 delta T = 0.003080s, MSE = 0.00000000000000273754357, epsilon = 0.001
 delta T = 0.003360s, MSE = 0.00000000000000305120559, epsilon = 0.001
 delta T = 0.002860s, MSE = 0.00000000000000287750624, epsilon = 0.001
 delta T = 0.002910s, MSE = 0.00000000000000275468900, epsilon = 0.001
 delta T = 0.002950s, MSE = 0.00000000000000286103589, epsilon = 0.001
 delta T = 0.002880s, MSE = 0.00000000000000283521473, epsilon = 0.001
 delta T = 0.002900s, MSE = 0.00000000000000305796279, epsilon = 0.001
 delta T = 0.002870s, MSE = 0.00000000000000261434242, epsilon = 0.001
 delta T = 0.002910s, MSE = 0.00000000000000253922393, epsilon = 0.001

 delta T = 0.003540s, MSE = 0.00000000000000000000000, epsilon = 0.00001
 delta T = 0.003360s, MSE = 0.00000000000000000000000, epsilon = 0.00001
 delta T = 0.003350s, MSE = 0.00000000000000000000000, epsilon = 0.00001
 delta T = 0.003030s, MSE = 0.00000000000000000000000, epsilon = 0.00001
 delta T = 0.003020s, MSE = 0.00000000000000000000000, epsilon = 0.00001
 delta T = 0.003030s, MSE = 0.00000000000000000000000, epsilon = 0.00001
 delta T = 0.002980s, MSE = 0.00000000000000000000000, epsilon = 0.00001
 delta T = 0.002960s, MSE = 0.00000000000000000000000, epsilon = 0.00001
 delta T = 0.003030s, MSE = 0.00000000000000000000000, epsilon = 0.00001
 delta T = 0.003000s, MSE = 0.00000000000000000000000, epsilon = 0.00001

release


 delta T = 0.001680s, MSE = 0.00000000000000000000000, epsilon = 0.00001
 delta T = 0.002590s, MSE = 0.00000000000000000000000, epsilon = 0.00001
 delta T = 0.001650s, MSE = 0.00000000000000000000000, epsilon = 0.00001
 delta T = 0.001620s, MSE = 0.00000000000000000000000, epsilon = 0.00001
 delta T = 0.001580s, MSE = 0.00000000000000000000000, epsilon = 0.00001
 delta T = 0.001890s, MSE = 0.00000000000000000000000, epsilon = 0.00001
 delta T = 0.001530s, MSE = 0.00000000000000000000000, epsilon = 0.00001
 delta T = 0.001510s, MSE = 0.00000000000000000000000, epsilon = 0.00001
 delta T = 0.001510s, MSE = 0.00000000000000000000000, epsilon = 0.00001
 delta T = 0.001510s, MSE = 0.00000000000000000000000, epsilon = 0.00001


 delta T = 0.001570s, MSE = 0.00000000707049352399736, epsilon = 0.1
 delta T = 0.001600s, MSE = 0.00000000633883212586284, epsilon = 0.1
 delta T = 0.001440s, MSE = 0.00000000640231956339221, epsilon = 0.1
 delta T = 0.001370s, MSE = 0.00000000674029498881623, epsilon = 0.1
 delta T = 0.001420s, MSE = 0.00000000650885656483524, epsilon = 0.1
 delta T = 0.001610s, MSE = 0.00000000708786851433274, epsilon = 0.1
 delta T = 0.001300s, MSE = 0.00000000649742570857370, epsilon = 0.1
 delta T = 0.001290s, MSE = 0.00000000606771344280332, epsilon = 0.1
 delta T = 0.001300s, MSE = 0.00000000689067602976934, epsilon = 0.1
 delta T = 0.001280s, MSE = 0.00000000645500941587329, epsilon = 0.1

debug



 delta T = 0.003130s, MSE = 0.00000000707049352399736, epsilon = 0.1
 delta T = 0.002920s, MSE = 0.00000000633883212586284, epsilon = 0.1
 delta T = 0.002900s, MSE = 0.00000000640231956339221, epsilon = 0.1
 delta T = 0.002630s, MSE = 0.00000000674029498881623, epsilon = 0.1
 delta T = 0.002670s, MSE = 0.00000000650885656483524, epsilon = 0.1
 delta T = 0.002650s, MSE = 0.00000000708786851433274, epsilon = 0.1
 delta T = 0.002640s, MSE = 0.00000000649742570857370, epsilon = 0.1
 delta T = 0.002580s, MSE = 0.00000000606771344280332, epsilon = 0.1
 delta T = 0.002610s, MSE = 0.00000000689067602976934, epsilon = 0.1
 delta T = 0.002610s, MSE = 0.00000000645500941587329, epsilon = 0.1

 delta T = 0.006060s, MSE = 0.00000000702935176732922, epsilon = 0.1
